Faculty,Course,Semester,Day,Time,Building,Room
"מחלקה לימודי יסוד - תנ""ך",01002-80,א',ג',0800 - 1000,חדר מחלקה,מחלקה
"מחלקה לימודי יסוד - תנ""ך",01002-81,א',ג',1000 - 1200,יהדות-403,113
"מחלקה לימודי יסוד - תנ""ך",010047-01,ב',ב',1600 - 1800,מ.ישראל-504,1
"מחלקה לימודי יסוד - תנ""ך",010048-01,א',ב',1600 - 1800,מ.ישראל-507,1
"מחלקה לימודי יסוד - תנ""ך",010070-01,ב',ה',1200 - 1400,מ.ישראל-507,102
"מחלקה לימודי יסוד - תנ""ך",01010-10,א',א',1600 - 2000,מ.ישראל-507,207
"מחלקה לימודי יסוד - תנ""ך",01010-80,ב',ג',0800 - 1000,חדר מחלקה,מחלקה
"מחלקה לימודי יסוד - תנ""ך",01010-81,ב',ג',1000 - 1200,מ.ישראל-507,101
"מחלקה לימודי יסוד - תנ""ך",010220-01,א',ב',1800 - 2000,מ.ישראל-505,103
"מחלקה לימודי יסוד - תנ""ך",010372-01,א',ד',1800 - 2000,מ.ישראל-505,5
"מחלקה לימודי יסוד - תנ""ך",010373-01,ב',ד',1800 - 2000,מ.ישראל-507,1
"מחלקה לימודי יסוד - תנ""ך",01042-01,א',א',1200 - 1400,מ.ישראל-507,6
"מחלקה לימודי יסוד - תנ""ך",01068-01,ב',ג',1600 - 1800,מ.ישראל-507,104
"מחלקה לימודי יסוד - תנ""ך",01099-01,ב',ג',1200 - 1400,מ.ישראל-507,202
"מחלקה לימודי יסוד - תנ""ך",01130-01,א',ה',1600 - 1800,מ.ישראל-507,6
"מחלקה לימודי יסוד - תנ""ך",01164-01,ב',ד',1400 - 1600,מ.ישראל-505,3
"מחלקה לימודי יסוד - תנ""ך",01190-01,א',א',1600 - 1800,מ.ישראל-505,3
"מחלקה לימודי יסוד - תנ""ך",01190-02,ב',ב',1800 - 2000,מ.ישראל-505,103
"מחלקה לימודי יסוד - תנ""ך",01211-01,א',ה',1400 - 1600,מ.ישראל-505,103
"מחלקה לימודי יסוד - תנ""ך",01212-01,ב',ה',1400 - 1600,מ.ישראל-507,203
"מחלקה לימודי יסוד - תנ""ך",01215-01,א',ב',1000 - 1200,מ.ישראל-507,4
"מחלקה לימודי יסוד - תנ""ך",01215-02,ב',ב',1400 - 1600,מ.ישראל-507,103
"מחלקה לימודי יסוד - תנ""ך",01216-01,ב',ב',1000 - 1200,מ.ישראל-507,103
"מחלקה לימודי יסוד - תנ""ך",01216-02,א',ב',1400 - 1600,מ.ישראל-507,4
"מחלקה לימודי יסוד - תנ""ך",01218-01,א',ו',0800 - 1000,נלמד בזום,999
"מחלקה לימודי יסוד - תנ""ך",01219-01,ב',א',1800 - 2000,מ.ישראל-507,207
"מחלקה לימודי יסוד - תנ""ך",012349-01,א',א',1000 - 1200,יהדות-404,68
"מחלקה לימודי יסוד - תנ""ך",01235-01,א',ב',0800 - 1000,מ.ישראל-505,103
"מחלקה לימודי יסוד - תנ""ך",01236-01,ב',ב',0800 - 1000,מ.ישראל-505,103
"מחלקה לימודי יסוד - תנ""ך",01240-01,ב',א',1600 - 1800,מ.ישראל-505,103
