Faculty,Course,Semester,Day,Time,Time-start,Time-end,Building,Room,Building_Name,Building_Number
מחלקה ב.א. רב-תחומי,93006-01,א',ב',18:00 - 20:00,18:00,20:00,מ.ישראל 507,107,מ.ישראל,507
מחלקה ב.א. רב-תחומי,93024-09,א',א',14:00 - 16:00,14:00,16:00,מ.ישראל 507,107,מ.ישראל,507
מחלקה ב.א. רב-תחומי,93024-11,א',א',16:00 - 18:00,16:00,18:00,מ.ישראל 507,107,מ.ישראל,507
מחלקה ב.א. רב-תחומי,93025-09,ב',א',14:00 - 16:00,14:00,16:00,מ.ישראל 507,107,מ.ישראל,507
מחלקה ב.א. רב-תחומי,93025-11,ב',א',16:00 - 18:00,16:00,18:00,מ.ישראל 507,107,מ.ישראל,507
מחלקה ב.א. רב-תחומי,93026-09,א',ד',08:00 - 12:00,8:00,12:00,חברה 905,61,חברה,905
מחלקה ב.א. רב-תחומי,93201-02,ב',ב',20:00 - 22:00,20:00,22:00,1401,2,,1401
מחלקה ב.א. רב-תחומי,93220-01,א',ב',16:00 - 18:00,16:00,18:00,מ.ישראל 507,107,מ.ישראל,507
מחלקה ב.א. רב-תחומי,93222-01,א',ב',20:00 - 22:00,20:00,22:00,מ.ישראל 507,107,מ.ישראל,507
מחלקה ב.א. רב-תחומי,93249-01,ב',ב',16:00 - 18:00,16:00,18:00,1401,2,,1401
מחלקה ב.א. רב-תחומי,93265-01,א',ב',16:00 - 18:00,16:00,18:00,יהדות 402,63,יהדות,402
מחלקה ב.א. רב-תחומי,93266-01,ב',ב',18:00 - 20:00,18:00,20:00,טבע 203,221,טבע,203
מחלקה ב.א. רב-תחומי,93268-01,א',ב',20:00 - 22:00,20:00,22:00,יהדות 402,63,יהדות,402
מחלקה ב.א. רב-תחומי,93269-01,ב',ב',20:00 - 22:00,20:00,22:00,טבע 203,221,טבע,203
מחלקה ב.א. רב-תחומי,93270-01,א',ב',18:00 - 20:00,18:00,20:00,יהדות 402,63,יהדות,402
מחלקה ב.א. רב-תחומי,93272-01,ב',ב',18:00 - 20:00,18:00,20:00,1401,2,,1401
מחלקה ב.א. רב-תחומי,93400-09,א',א',08:00 - 10:00,8:00,10:00,מ.ישראל 507,107,מ.ישראל,507
מחלקה ב.א. רב-תחומי,93400-11,א',א',10:00 - 11:00,10:00,11:00,מ.ישראל 507,107,מ.ישראל,507
מחלקה ב.א. רב-תחומי,93400-15,א',א',12:00 - 14:00,12:00,14:00,רוח 1002,1,רוח,1002
מחלקה ב.א. רב-תחומי,93400-16,א',א',14:00 - 15:00,14:00,15:00,רוח 1002,1,רוח,1002
מחלקה ב.א. רב-תחומי,93401-09,ב',א',08:00 - 10:00,8:00,10:00,מ.ישראל 507,107,מ.ישראל,507
מחלקה ב.א. רב-תחומי,93401-11,ב',א',10:00 - 11:00,10:00,11:00,מ.ישראל 507,107,מ.ישראל,507
מחלקה ב.א. רב-תחומי,93401-15,ב',א',08:00 - 10:00,8:00,10:00,יהדות 402,63,יהדות,402
מחלקה ב.א. רב-תחומי,93401-16,ב',א',10:00 - 11:00,10:00,11:00,יהדות 402,63,יהדות,402
מחלקה ב.א. רב-תחומי,93458-09,א',ד',08:00 - 12:00,8:00,12:00,מ.ישראל 604,63,מ.ישראל,604
מחלקה ב.א. רב-תחומי,93458-10,א',ד',08:00 - 12:00,8:00,12:00,מ.ישראל 604,64,מ.ישראל,604
