app_user_id,role,trust_score,tier,successful_reports,total_reports
U001,Student,0.82,VIP,72,88
U002,Student,0.86,VIP,60,69
U003,Student,0.76,VIP,52,68
U004,Student,0.64,Resident,11,29
U005,Student,0.71,Resident,27,40
U006,Student,0.61,Resident,8,20
U007,Student,0.79,VIP,59,77
U008,Student,0.64,Resident,8,14
U009,Student,0.89,VIP,77,88
U010,Student,0.72,Resident,7,27
U011,Student,0.6,Resident,30,38
U012,Student,0.79,VIP,88,107
U013,Student,0.5,Newbie,0,2
U014,Student,0.7,Resident,48,61
U015,Student,0.85,VIP,55,69
U016,Student,0.69,Resident,5,12
U017,Student,0.6,Resident,37,50
U018,Student,0.65,Resident,14,33
U019,Student,0.6,Resident,25,38
U020,Student,0.77,VIP,71,79
U021,Student,0.7,Resident,44,51
U022,Student,0.5,Newbie,1,4
U023,Student,0.88,VIP,86,102
U024,Student,0.5,Newbie,1,1
U025,Student,0.82,VIP,51,71
U026,Student,0.78,VIP,87,95
U027,Student,0.83,VIP,61,69
U028,Student,0.74,Resident,18,23
U029,Student,0.5,Newbie,1,2
U030,Student,0.83,VIP,76,95
U031,Student,0.67,Resident,26,37
U032,Student,0.73,Resident,40,48
U033,Lecturer,0.94,VIP,88,90
U034,Student,0.66,Resident,8,25
U035,Student,0.7,Resident,33,45
U036,Student,0.62,Resident,10,24
U037,Student,0.84,VIP,89,100
U038,Student,0.74,Resident,47,55
U039,Student,0.83,VIP,96,115
U040,Student,0.5,Newbie,0,3
U041,Student,0.73,Resident,16,27
U042,Student,0.5,Newbie,0,0
U043,Student,0.63,Resident,16,22
U044,Student,0.5,Newbie,3,6
U045,Student,0.8,VIP,85,96
U046,Student,0.68,Resident,39,46
U047,Student,0.79,VIP,95,115
U048,Student,0.71,Resident,17,24
U049,Student,0.88,VIP,88,106
U050,Lecturer,0.93,VIP,113,117
U051,Student,0.73,Resident,32,49
U052,Student,0.82,VIP,61,68
U053,Student,0.5,Newbie,4,4
U054,Student,0.73,Resident,14,30
U055,Student,0.71,Resident,37,48
U056,Student,0.68,Resident,44,53
U057,Student,0.73,Resident,36,50
U058,Student,0.76,VIP,80,99
U059,Student,0.89,VIP,85,90
U060,Student,0.67,Resident,11,19
U061,Student,0.84,VIP,86,101
U062,Student,0.82,VIP,62,74
U063,Student,0.63,Resident,8,24
U064,Student,0.5,Newbie,4,5
U065,Student,0.73,Resident,30,36
U066,Student,0.63,Resident,35,43
U067,Student,0.75,VIP,93,107
U068,Student,0.82,VIP,99,109
U069,Student,0.89,VIP,55,69
U070,Student,0.82,VIP,89,100
U071,Student,0.62,Resident,40,58
U072,Student,0.68,Resident,23,39
U073,Student,0.63,Resident,8,28
U074,Student,0.62,Resident,9,23
U075,Student,0.61,Resident,48,65
U076,Student,0.87,VIP,92,102
U077,Student,0.72,Resident,47,65
U078,Student,0.77,VIP,58,75
U079,Student,0.83,VIP,96,104
U080,Student,0.77,VIP,54,65
U081,Student,0.62,Resident,6,23
U082,Lecturer,0.93,VIP,113,123
U083,Student,0.76,VIP,99,112
U084,Student,0.5,Newbie,4,6
U085,Student,0.63,Resident,17,25
U086,Student,0.67,Resident,35,47
U087,Student,0.6,Resident,36,51
U088,Student,0.83,VIP,86,99
U089,Student,0.64,Resident,17,22
U090,Student,0.61,Resident,26,43
U091,Student,0.5,Newbie,1,4
U092,Student,0.5,Newbie,4,6
U093,Student,0.84,VIP,56,69
U094,Student,0.67,Resident,21,27
U095,Student,0.7,Resident,7,21
U096,Student,0.5,Newbie,4,5
U097,Student,0.65,Resident,37,45
U098,Student,0.88,VIP,96,105
U099,Student,0.68,Resident,32,51
U100,Student,0.77,VIP,89,107
