app_user_id,role,trust_score
U001,staff,0.91
U002,student,0.83
U003,student,0.81
U004,student,0.89
U005,student,0.66
U006,student,0.79
U007,student,0.66
U008,student,0.76
U009,student,0.89
U010,student,0.82
U011,student,0.79
U012,staff,0.96
U013,student,0.81
U014,student,0.8
U015,student,0.68
U016,student,0.88
U017,student,0.77
U018,student,0.82
U019,student,0.69
U020,student,0.76
U021,student,0.73
U022,student,0.7
U023,student,0.6
U024,staff,0.95
U025,student,0.79
U026,student,0.85
U027,staff,0.93
U028,student,0.74
U029,student,0.66
U030,student,0.72
