app_user_id,role,trust_score,tier,successful_reports,total_reports
U001,Student,0.69,Resident,13,19
U002,Student,0.66,Resident,44,59
U003,Student,0.64,Resident,29,43
U004,Student,0.18,Resident,14,88
U005,Student,0.22,Resident,29,64
U006,Student,0.73,Resident,27,36
U007,Student,0.69,Resident,22,35
U008,Student,0.76,VIP,73,85
U009,Student,0.5,Newbie,0,3
U010,Student,0.79,VIP,54,61
U011,Student,0.35,Resident,21,59
U012,Student,0.35,Resident,26,76
U013,Student,0.06,Resident,17,72
U014,Student,0.65,Resident,25,35
U015,Student,0.73,Resident,38,47
U016,Student,0.32,Resident,5,50
U017,Student,0.88,VIP,100,107
U018,Student,0.61,Resident,40,57
U019,Student,0.05,Resident,20,98
U020,Student,0.62,Resident,14,23
U021,Student,0.24,Resident,16,60
U022,Student,0.62,Resident,11,17
U023,Student,0.3,Resident,20,48
U024,Student,0.5,Newbie,2,3
U025,Student,0.72,Resident,28,34
U026,Student,0.65,Resident,28,47
U027,Student,0.75,VIP,53,73
U028,Student,0.66,Resident,38,45
U029,Student,0.83,VIP,81,89
U030,Student,0.23,Resident,20,65
U031,Student,0.77,VIP,80,92
U032,Student,0.36,Resident,12,32
U033,Student,0.89,VIP,72,82
U034,Student,0.82,VIP,52,67
U035,Lecturer,0.97,VIP,104,111
U036,Student,0.88,VIP,86,104
U037,Student,0.72,Resident,8,19
U038,Student,0.89,VIP,93,109
U039,Student,0.87,VIP,50,69
U040,Student,0.67,Resident,8,28
U041,Student,0.02,Resident,16,73
U042,Student,0.83,VIP,83,99
U043,Student,0.17,Resident,18,88
U044,Student,0.68,Resident,44,58
U045,Student,0.5,Newbie,1,4
U046,Student,0.79,VIP,51,57
U047,Student,0.2,Resident,12,32
U048,Student,0.67,Resident,34,50
U049,Student,0.79,VIP,64,71
U050,Student,0.38,Resident,18,54
U051,Student,0.63,Resident,44,54
U052,Student,0.85,VIP,87,99
U053,Student,0.12,Resident,6,80
U054,Student,0.04,Resident,18,117
U055,Student,0.81,VIP,64,78
U056,Student,0.72,Resident,22,34
U057,Student,0.64,Resident,35,50
U058,Student,0.39,Resident,13,38
U059,Student,0.5,Newbie,2,4
U060,Student,0.88,VIP,84,97
U061,Student,0.75,VIP,86,98
U062,Student,0.89,VIP,85,91
U063,Student,0.74,Resident,15,35
U064,Student,0.81,VIP,74,81
U065,Student,0.35,Resident,30,69
U066,Lecturer,0.93,VIP,74,83
U067,Student,0.12,Resident,9,98
U068,Student,0.6,Resident,39,51
U069,Student,0.89,VIP,89,108
U070,Student,0.81,VIP,93,101
U071,Student,0.72,Resident,33,45
U072,Student,0.67,Resident,43,61
U073,Student,0.5,Newbie,1,4
U074,Student,0.61,Resident,29,35
U075,Student,0.76,VIP,68,86
U076,Student,0.39,Resident,29,62
U077,Student,0.62,Resident,47,62
U078,Student,0.81,VIP,95,106
U079,Student,0.67,Resident,14,28
U080,Student,0.5,Newbie,4,5
U081,Student,0.68,Resident,39,58
U082,Student,0.85,VIP,96,102
U083,Student,0.88,VIP,72,87
U084,Student,0.87,VIP,93,107
U085,Student,0.74,Resident,22,39
U086,Student,0.65,Resident,10,23
U087,Student,0.75,VIP,68,77
U088,Student,0.36,Resident,16,38
U089,Student,0.82,VIP,56,64
U090,Student,0.5,Newbie,3,6
U091,Student,0.5,Newbie,3,6
U092,Student,0.89,VIP,55,63
U093,Student,0.5,Newbie,0,0
U094,Student,0.79,VIP,83,103
U095,Student,0.78,VIP,80,91
U096,Student,0.5,Newbie,2,4
U097,Lecturer,0.92,VIP,143,148
U098,Student,0.33,Resident,7,37
U099,Student,0.89,VIP,83,93
U100,Student,0.69,Resident,47,65
