app_user_id,role,trust_score
U001,student,0.21
U002,student,0.82
U003,student,0.13
U004,student,0.36
U005,student,0.38
U006,student,0.61
U007,student,0.16
U008,student,0.1
U009,student,0.37
U010,student,0.26
U011,student,0.31
U012,student,0.09
U013,student,0.74
U014,student,0.07
U015,student,0.14
U016,student,0.06
U017,student,0.29
U018,student,0.21
U019,student,0.26
U020,student,0.28
U021,student,0.06
U022,student,0.34
U023,student,0.85
U024,student,0.13
U025,student,0.27
U026,student,0.35
U027,student,0.39
U028,student,0.11
U029,student,0.33
U030,student,0.07
U031,student,0.03
U032,student,0.39
U033,student,0.62
U034,student,0.32
U035,student,0.16
U036,student,0.35
U037,student,0.34
U038,student,0.12
U039,student,0.26
U040,student,0.28
U041,student,0.37
U042,student,0.25
U043,student,0.29
U044,student,0.02
U045,student,0.1
U046,student,0.15
U047,student,0.35
U048,student,0.06
U049,student,0.31
U050,student,0.01
