app_user_id,role,trust_score,tier,successful_reports,total_reports
U001,Student,0.09,Resident,15,82
U002,Student,0.73,Resident,47,66
U003,Student,0.01,Resident,16,103
U004,Student,0.16,Resident,18,94
U005,Student,0.27,Resident,14,53
U006,Student,0.36,Resident,17,56
U007,Student,0.17,Resident,18,101
U008,Student,0.33,Resident,13,63
U009,Student,0.35,Resident,28,49
U010,Student,0.67,Resident,40,46
U011,Student,0.08,Resident,12,92
U012,Student,0.35,Resident,14,51
U013,Student,0.86,VIP,98,110
U014,Student,0.1,Resident,15,115
U015,Student,0.33,Resident,26,59
U016,Student,0.39,Resident,21,49
U017,Student,0.27,Resident,28,61
U018,Student,0.09,Resident,8,72
U019,Student,0.11,Resident,19,118
U020,Student,0.38,Resident,11,52
U021,Student,0.77,VIP,100,118
U022,Student,0.34,Resident,13,47
U023,Student,0.5,Newbie,3,3
U024,Student,0.16,Resident,20,118
U025,Student,0.05,Resident,7,68
U026,Student,0.35,Resident,6,32
U027,Student,0.5,Newbie,1,2
U028,Student,0.25,Resident,27,55
U029,Student,0.33,Resident,8,56
U030,Student,0.2,Resident,15,51
U031,Student,0.89,VIP,94,102
U032,Student,0.13,Resident,18,72
U033,Student,0.5,Newbie,2,2
U034,Student,0.11,Resident,18,104
U035,Student,0.06,Resident,13,103
U036,Student,0.27,Resident,12,61
U037,Student,0.35,Resident,25,50
U038,Student,0.09,Resident,19,86
U039,Student,0.31,Resident,27,59
U040,Student,0.31,Resident,18,61
U041,Student,0.02,Resident,10,62
U042,Student,0.32,Resident,6,48
U043,Student,0.03,Resident,16,115
U044,Student,0.14,Resident,18,109
U045,Student,0.04,Resident,19,101
U046,Student,0.32,Resident,15,58
U047,Student,0.06,Resident,19,106
U048,Student,0.35,Resident,27,55
U049,Student,0.1,Resident,10,92
U050,Student,0.1,Resident,7,75
U051,Student,0.18,Resident,5,87
U052,Student,0.12,Resident,17,89
U053,Student,0.04,Resident,10,74
U054,Student,0.22,Resident,17,62
U055,Student,0.02,Resident,10,68
U056,Student,0.14,Resident,10,104
U057,Student,0.12,Resident,7,63
U058,Student,0.05,Resident,19,77
U059,Student,0.06,Resident,11,109
U060,Student,0.88,VIP,63,79
U061,Student,0.4,Resident,20,47
U062,Student,0.33,Resident,26,51
U063,Student,0.06,Resident,9,60
U064,Student,0.3,Resident,16,61
U065,Student,0.5,Newbie,0,2
U066,Student,0.21,Resident,22,71
U067,Student,0.72,Resident,19,29
U068,Student,0.13,Resident,9,104
U069,Student,0.28,Resident,28,66
U070,Student,0.07,Resident,5,98
U071,Student,0.36,Resident,24,49
U072,Student,0.36,Resident,16,60
U073,Student,0.3,Resident,18,47
U074,Student,0.11,Resident,14,97
U075,Student,0.24,Resident,17,57
U076,Student,0.79,VIP,53,64
U077,Student,0.6,Resident,35,53
U078,Student,0.1,Resident,8,74
U079,Student,0.37,Resident,13,47
U080,Student,0.83,VIP,76,85
U081,Student,0.33,Resident,25,61
U082,Student,0.3,Resident,8,29
U083,Student,0.88,VIP,51,57
U084,Student,0.24,Resident,26,72
U085,Student,0.15,Resident,8,71
U086,Student,0.18,Resident,16,78
U087,Student,0.75,VIP,89,98
U088,Student,0.65,Resident,21,28
U089,Student,0.08,Resident,20,81
U090,Student,0.38,Resident,15,56
U091,Student,0.04,Resident,9,104
U092,Student,0.28,Resident,30,57
U093,Student,0.09,Resident,16,106
U094,Student,0.36,Resident,5,35
U095,Student,0.39,Resident,25,59
U096,Student,0.23,Resident,19,51
U097,Student,0.07,Resident,10,108
U098,Student,0.25,Resident,18,43
U099,Student,0.34,Resident,20,46
U100,Student,0.16,Resident,6,67
