app_user_id,role,trust_score
U001,student,0.63
U002,student,0.85
U003,student,0.63
U004,student,0.37
U005,student,0.73
U006,student,0.65
U007,student,0.27
U008,student,0.22
U009,student,0.37
U010,student,0.73
U011,student,0.08
U012,student,0.65
U013,student,0.81
U014,student,0.6
U015,student,0.06
U016,student,0.84
U017,student,0.67
U018,student,0.68
U019,student,0.78
U020,student,0.0
U021,student,0.07
U022,student,0.82
U023,student,0.87
U024,student,0.65
U025,student,0.86
U026,student,0.07
U027,student,0.15
U028,student,0.27
U029,student,0.7
U030,student,0.82
U031,student,0.68
U032,student,0.89
U033,student,0.76
U034,student,0.74
U035,student,0.85
U036,student,0.67
U037,student,0.61
U038,student,0.6
U039,student,0.86
U040,student,0.8
