app_user_id,role,trust_score,tier,successful_reports,total_reports
U001,Student,0.87,VIP,84,95
U002,Student,0.5,Newbie,2,3
U003,Student,0.72,Resident,23,33
U004,Student,0.88,VIP,78,83
U005,Student,0.87,VIP,70,78
U006,Student,0.64,Resident,26,45
U007,Student,0.73,Resident,11,20
U008,Student,0.5,Newbie,0,3
U009,Student,0.73,Resident,17,25
U010,Student,0.65,Resident,39,58
U011,Lecturer,0.93,VIP,62,69
U012,Student,0.72,Resident,15,21
U013,Student,0.82,VIP,94,113
U014,Student,0.5,Newbie,1,4
U015,Lecturer,0.92,VIP,51,54
U016,Lecturer,0.96,VIP,66,69
U017,Student,0.76,VIP,78,92
U018,Student,0.69,Resident,45,63
U019,Student,0.73,Resident,7,12
U020,Student,0.65,Resident,31,49
U021,Student,0.75,VIP,77,86
U022,Student,0.73,Resident,48,54
U023,Student,0.7,Resident,48,65
U024,Student,0.63,Resident,5,20
U025,Lecturer,0.95,VIP,109,117
U026,Lecturer,0.91,VIP,116,117
U027,Student,0.66,Resident,22,33
U028,Lecturer,0.95,VIP,89,96
U029,Lecturer,0.93,VIP,66,76
U030,Lecturer,0.93,VIP,77,86
U031,Student,0.71,Resident,42,47
U032,Student,0.86,VIP,58,65
U033,Lecturer,0.91,VIP,62,72
U034,Student,0.69,Resident,12,30
U035,Lecturer,0.95,VIP,126,136
U036,Student,0.67,Resident,29,47
U037,Student,0.66,Resident,33,50
U038,Student,0.74,Resident,35,41
U039,Lecturer,0.94,VIP,95,104
U040,Lecturer,0.99,VIP,90,100
U041,Student,0.5,Newbie,0,3
U042,Student,0.86,VIP,70,80
U043,Student,0.5,Newbie,2,4
U044,Lecturer,0.93,VIP,142,142
U045,Lecturer,0.97,VIP,144,147
U046,Student,0.88,VIP,66,71
U047,Lecturer,0.94,VIP,98,99
U048,Student,0.5,Newbie,0,1
U049,Student,0.5,Newbie,1,4
U050,Lecturer,0.95,VIP,82,91
U051,Student,0.63,Resident,29,47
U052,Student,0.5,Newbie,2,4
U053,Student,0.87,VIP,73,84
U054,Student,0.79,VIP,54,69
U055,Student,0.83,VIP,97,109
U056,Lecturer,0.94,VIP,96,104
U057,Lecturer,0.97,VIP,111,111
U058,Lecturer,0.93,VIP,102,102
U059,Lecturer,0.92,VIP,68,71
U060,Lecturer,0.94,VIP,85,86
U061,Student,0.5,Newbie,0,0
U062,Lecturer,0.91,VIP,101,101
U063,Lecturer,0.94,VIP,56,61
U064,Student,0.75,VIP,64,70
U065,Student,0.5,Newbie,2,4
U066,Student,0.61,Resident,25,37
U067,Student,0.64,Resident,40,45
U068,Student,0.8,VIP,88,105
U069,Lecturer,1.0,VIP,112,115
U070,Student,0.84,VIP,94,102
U071,Lecturer,0.95,VIP,119,121
U072,Lecturer,0.92,VIP,101,102
U073,Student,0.61,Resident,18,34
U074,Student,0.79,VIP,71,79
U075,Lecturer,0.99,VIP,126,128
U076,Student,0.83,VIP,59,75
U077,Student,0.89,VIP,79,99
U078,Student,0.5,Newbie,1,3
U079,Student,0.76,VIP,66,81
U080,Student,0.71,Resident,20,40
U081,Student,0.6,Resident,29,46
U082,Student,0.8,VIP,58,67
U083,Lecturer,0.94,VIP,80,90
U084,Student,0.5,Newbie,0,2
U085,Student,0.5,Newbie,3,4
U086,Student,0.5,Newbie,2,3
U087,Student,0.8,VIP,82,101
U088,Student,0.89,VIP,62,71
U089,Student,0.73,Resident,33,51
U090,Lecturer,0.94,VIP,133,139
U091,Lecturer,0.98,VIP,118,118
U092,Student,0.87,VIP,50,66
U093,Student,0.8,VIP,99,111
U094,Student,0.7,Resident,41,55
U095,Student,0.77,VIP,68,81
U096,Student,0.74,Resident,17,33
U097,Student,0.5,Newbie,3,3
U098,Lecturer,0.92,VIP,143,150
U099,Student,0.73,Resident,9,18
U100,Lecturer,0.96,VIP,103,104
