building_number,room,building_name,day_of_week,hour,has_schedule_class,actual_status
507,107,מ.ישראל,0,19,1,BUSY
507,107,מ.ישראל,0,15,1,BUSY
905,61,חברה,0,18,1,BUSY
905,61,חברה,0,8,0,FREE
1401,2,nan,0,11,0,FREE
1401,2,nan,0,10,0,FREE
402,63,יהדות,0,18,1,BUSY
402,63,יהדות,0,12,1,BUSY
203,221,טבע,0,14,1,BUSY
203,221,טבע,0,9,0,FREE
1002,1,רוח,0,17,1,BUSY
1002,1,רוח,0,11,1,BUSY
604,63,מ.ישראל,0,15,1,BUSY
604,63,מ.ישראל,0,12,1,BUSY
604,64,מ.ישראל,0,13,1,BUSY
604,64,מ.ישראל,0,10,1,BUSY
604,105,מ.ישראל,0,11,1,BUSY
604,105,מ.ישראל,0,13,1,BUSY
403,211,יהדות,0,15,0,FREE
403,211,יהדות,0,18,0,FREE
604,102,מ.ישראל,0,14,1,BUSY
604,102,מ.ישראל,0,15,1,BUSY
403,217,יהדות,0,8,1,BUSY
403,217,יהדות,0,12,1,BUSY
305,133,משפטים,0,11,1,BUSY
305,133,משפטים,0,15,0,FREE
504,2,מ.ישראל,0,14,1,BUSY
504,2,מ.ישראל,0,11,1,FREE
507,102,מ.ישראל,0,9,1,BUSY
507,102,מ.ישראל,0,19,1,BUSY
604,62,מ.ישראל,0,9,0,FREE
604,62,מ.ישראל,0,16,1,BUSY
1002,405,רוח,0,18,0,FREE
1002,405,רוח,0,13,1,BUSY
902,210,חברה,0,18,0,BUSY
902,210,חברה,0,11,0,FREE
508,7,מ.ישראל,0,9,0,FREE
508,7,מ.ישראל,0,13,1,BUSY
502,8,מ.ישראל,0,9,0,FREE
502,8,מ.ישראל,0,18,0,FREE
605,104,מ.ישראל,0,15,0,FREE
605,104,מ.ישראל,0,16,1,BUSY
1002,61,רוח,0,16,1,BUSY
1002,61,רוח,0,13,0,BUSY
507,4,מ.ישראל,0,16,1,BUSY
507,4,מ.ישראל,0,12,1,BUSY
504,4,מ.ישראל,0,18,1,BUSY
504,4,מ.ישראל,0,16,1,BUSY
1002,202,רוח,0,9,0,FREE
1002,202,רוח,0,19,1,BUSY
502,6,מ.ישראל,0,14,0,BUSY
502,6,מ.ישראל,0,9,0,FREE
502,7,מ.ישראל,0,9,0,FREE
502,7,מ.ישראל,0,19,0,BUSY
505,4,מ.ישראל,0,9,0,FREE
505,4,מ.ישראל,0,18,1,BUSY
502,9,מ.ישראל,0,10,0,BUSY
502,9,מ.ישראל,0,16,0,FREE
1005,109,רוח,0,12,0,BUSY
1005,109,רוח,0,14,0,BUSY
902,103,חברה,0,14,0,BUSY
902,103,חברה,0,18,0,FREE
502,37,מ.ישראל,0,15,1,BUSY
502,37,מ.ישראל,0,8,0,FREE
902,201,חברה,0,19,1,BUSY
902,201,חברה,0,10,0,FREE
604,205,מ.ישראל,0,10,1,FREE
604,205,מ.ישראל,0,14,1,BUSY
505,63,מ.ישראל,0,8,0,FREE
505,63,מ.ישראל,0,10,1,BUSY
504,5,מ.ישראל,0,16,1,BUSY
504,5,מ.ישראל,0,9,1,BUSY
305,5,משפטים,0,14,0,FREE
305,5,משפטים,0,15,0,FREE
605,14,מ.ישראל,0,9,1,BUSY
605,14,מ.ישראל,0,16,1,BUSY
505,105,מ.ישראל,0,17,1,BUSY
505,105,מ.ישראל,0,16,1,BUSY
502,24,מ.ישראל,0,19,0,BUSY
502,24,מ.ישראל,0,8,0,FREE
505,5,מ.ישראל,0,13,1,BUSY
505,5,מ.ישראל,0,8,0,FREE
404,68,יהדות,0,8,1,BUSY
404,68,יהדות,0,9,1,BUSY
305,134,משפטים,0,12,1,BUSY
305,134,משפטים,0,14,1,BUSY
105,103,סטודנטים,0,15,0,FREE
105,103,סטודנטים,0,18,0,FREE
105,104,סטודנטים,0,14,0,FREE
105,104,סטודנטים,0,16,0,BUSY
105,101,סטודנטים,0,19,1,BUSY
105,101,סטודנטים,0,14,1,BUSY
105,102,סטודנטים,0,15,1,BUSY
105,102,סטודנטים,0,9,1,BUSY
105,1,סטודנטים,0,14,1,FREE
105,1,סטודנטים,0,9,0,BUSY
304,3,משפטים,0,8,1,BUSY
304,3,משפטים,0,17,1,BUSY
305,6,משפטים,0,19,1,BUSY
305,6,משפטים,0,12,1,BUSY
105,61,סטודנטים,0,8,0,FREE
105,61,סטודנטים,0,9,0,FREE
105,2,סטודנטים,0,17,0,FREE
105,2,סטודנטים,0,9,0,BUSY
304,2,משפטים,0,12,1,BUSY
304,2,משפטים,0,10,1,BUSY
105,3,סטודנטים,0,19,0,BUSY
105,3,סטודנטים,0,16,1,BUSY
605,101,מ.ישראל,0,11,1,FREE
605,101,מ.ישראל,0,10,1,BUSY
605,102,מ.ישראל,0,14,1,BUSY
605,102,מ.ישראל,0,15,1,BUSY
604,11,מ.ישראל,0,10,1,BUSY
604,11,מ.ישראל,0,11,1,FREE
605,11,מ.ישראל,0,10,1,BUSY
605,11,מ.ישראל,0,11,1,BUSY
604,12,מ.ישראל,0,19,1,BUSY
604,12,מ.ישראל,0,10,1,BUSY
504,6,מ.ישראל,0,17,1,BUSY
504,6,מ.ישראל,0,9,0,FREE
605,202,מ.ישראל,0,17,1,BUSY
605,202,מ.ישראל,0,13,0,FREE
604,14,מ.ישראל,0,8,0,FREE
604,14,מ.ישראל,0,16,1,BUSY
507,101,מ.ישראל,0,13,1,BUSY
507,101,מ.ישראל,0,14,1,BUSY
507,103,מ.ישראל,0,13,1,BUSY
507,103,מ.ישראל,0,16,1,BUSY
504,7,מ.ישראל,0,8,0,BUSY
504,7,מ.ישראל,0,14,1,BUSY
604,13,מ.ישראל,0,18,1,BUSY
604,13,מ.ישראל,0,17,1,BUSY
505,1,מ.ישראל,0,8,0,BUSY
505,1,מ.ישראל,0,15,0,FREE
504,3,מ.ישראל,0,11,0,FREE
504,3,מ.ישראל,0,12,1,BUSY
604,101,מ.ישראל,0,11,1,BUSY
604,101,מ.ישראל,0,10,1,BUSY
507,201,מ.ישראל,0,12,1,BUSY
507,201,מ.ישראל,0,13,1,BUSY
403,67,יהדות,0,10,1,BUSY
403,67,יהדות,0,14,0,FREE
507,204,מ.ישראל,0,17,1,BUSY
507,204,מ.ישראל,0,11,0,BUSY
505,106,מ.ישראל,0,10,0,FREE
505,106,מ.ישראל,0,14,1,BUSY
505,62,מ.ישראל,0,12,1,BUSY
505,62,מ.ישראל,0,16,1,BUSY
505,104,מ.ישראל,0,15,1,BUSY
505,104,מ.ישראל,0,8,0,FREE
605,13,מ.ישראל,0,11,1,BUSY
605,13,מ.ישראל,0,15,1,BUSY
501,25,מ.ישראל,0,18,1,BUSY
501,25,מ.ישראל,0,15,1,BUSY
505,201,מ.ישראל,0,17,1,FREE
505,201,מ.ישראל,0,16,1,BUSY
505,3,מ.ישראל,0,13,1,BUSY
505,3,מ.ישראל,0,8,0,FREE
507,207,מ.ישראל,0,11,1,BUSY
507,207,מ.ישראל,0,12,1,BUSY
604,61,מ.ישראל,0,16,1,BUSY
604,61,מ.ישראל,0,19,0,FREE
507,2,מ.ישראל,0,18,1,BUSY
507,2,מ.ישראל,0,13,1,BUSY
505,101,מ.ישראל,0,12,0,FREE
505,101,מ.ישראל,0,8,0,FREE
905,417,חברה,0,19,1,BUSY
905,417,חברה,0,8,1,FREE
504,1,מ.ישראל,0,11,1,BUSY
504,1,מ.ישראל,0,8,0,FREE
605,201,מ.ישראל,0,9,0,FREE
605,201,מ.ישראל,0,10,0,FREE
604,104,מ.ישראל,0,9,0,FREE
604,104,מ.ישראל,0,14,1,BUSY
213,4,טבע,0,8,0,FREE
213,4,טבע,0,15,1,FREE
105,4,סטודנטים,0,9,0,FREE
